Order ID,Order Date,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Gross_price,Discount,Discount_amt,Net Price,Profit,Payment Mode
10001,19-10-2024,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,72588,5,3629.4,68958.6,10525.09,Debit Card
10002,30-08-2025,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,42165,20,8433,33732,6299.66,Debit Card
10003,04-11-2023,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,259504,20,51900.8,207603.2,19850.27,Credit Card
10004,23-05-2025,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,186600,15,27990,158610,36311.02,UPI
10005,19-01-2025,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,50037,10,5003.7,45033.3,9050.04,Debit Card
10006,06-04-2025,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,201435,15,30215.25,171219.75,23722.84,Credit Card
10007,13-10-2023,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,7272,5,363.6,6908.4,680.26,Debit Card
10008,17-08-2025,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,15885,15885,10,1588.5,14296.5,1289.03,Debit Card
10009,07-03-2025,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,40834,20,8166.8,32667.2,3700.89,Credit Card
10010,02-12-2024,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,33372,15,5005.8,28366.2,5703.09,UPI
10011,24-08-2025,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,21522,20,4304.4,17217.6,4139.82,Credit Card
10012,21-05-2024,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,81198,10,8119.8,73078.2,16216.55,Net Banking
10013,05-12-2024,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,53951,5,2697.55,51253.45,6826.05,Credit Card
10014,03-12-2023,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,5,23843,119215,0,0,119215,21029.48,UPI
10015,25-07-2025,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,30888,5,1544.4,29343.6,5535.44,COD
10016,13-10-2023,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,258225,10,25822.5,232402.5,35657.72,Debit Card
10017,24-05-2024,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,158073,15,23710.95,134362.05,26225.16,UPI
10018,07-09-2025,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,3775,15100,10,1510,13590,1234.71,Net Banking
10019,15-06-2024,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,49737,20,9947.4,39789.6,4240.62,Credit Card
10020,11-01-2024,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,36393,181965,5,9098.25,172866.75,39437.91,Debit Card
10021,15-10-2023,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,6574,20,1314.8,5259.2,580.75,UPI
10022,16-03-2024,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,26762,133810,15,20071.5,113738.5,27267.31,Credit Card
10023,02-11-2023,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,47699,47699,20,9539.8,38159.2,8535.56,UPI
10024,10-07-2025,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,28257,10,2825.7,25431.3,3959.79,Credit Card
10025,21-06-2025,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,120280,20,24056,96224,20551.56,COD
10026,13-01-2024,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,65756,131512,5,6575.6,124936.4,19544.76,UPI
10027,22-04-2025,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,8276,8276,0,0,8276,537.47,Net Banking
10028,12-12-2024,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,731,2193,0,0,2193,214.1,UPI
10029,27-08-2025,Kavya Bhatnagar,North,Delhi,Toys,RC Car,RC Car Amet,2,67085,134170,20,26834,107336,22034.77,Net Banking
10030,22-04-2024,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,397265,15,59589.75,337675.25,80309.87,Debit Card
10031,07-01-2025,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,51090,10,5109,45981,9818.01,Credit Card
10032,11-12-2023,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,306572,5,15328.6,291243.4,40522.22,UPI
10033,24-06-2024,Kavya Saran,West,Ahmedabad,Furniture,Sofa,Sofa Deleniti,4,60561,242244,20,48448.8,193795.2,21970.55,Net Banking
10034,11-07-2025,Mannat Batta,East,Guwahati,Toys,RC Car,RC Car Quam,4,19080,76320,20,15264,61056,10008.03,Debit Card
10035,31-12-2023,Shayak Bala,South,Thiruvananthapuram,Toys,Action Figure,Action Figure Laboriosam,2,48271,96542,20,19308.4,77233.6,13625.93,Net Banking
10036,08-03-2025,Hrishita Kumer,South,Thiruvananthapuram,Beauty,Lipstick,Lipstick Accusantium,4,7232,28928,15,4339.2,24588.8,4643.94,Credit Card
10037,02-12-2024,Prisha Gaba,West,Surat,Sports,Dumbbells,Dumbbells Quas,2,78467,156934,0,0,156934,9444.77,Credit Card
10038,19-10-2023,Arhaan Gole,North,Lucknow,Sports,Yoga Mat,Yoga Mat Quaerat,4,34124,136496,5,6824.8,129671.2,8392.19,UPI
10039,30-09-2025,Shaan Bala,East,Ranchi,Toys,Puzzle,Puzzle Assumenda,2,60907,121814,0,0,121814,24378.77,COD
10040,16-11-2023,Taran Kala,North,Lucknow,Kitchen,Refrigerator,Refrigerator Libero,5,9102,45510,10,4551,40959,7785.75,Debit Card
10041,18-09-2024,Nitara Hayre,East,Guwahati,Toys,Board Game,Board Game Consequuntur,5,76782,383910,20,76782,307128,47122.1,UPI
10042,01-07-2025,Lavanya Tata,North,Amritsar,Toys,Doll,Doll Laborum,5,57559,287795,5,14389.75,273405.25,26969.18,Debit Card
10043,11-02-2024,Badal Dada,West,Surat,Electronics,Camera,Camera A,2,68630,137260,0,0,137260,16783.04,Net Banking
10044,23-10-2024,Bhamini Sane,South,Coimbatore,Groceries,Rice,Rice Incidunt,5,64105,320525,20,64105,256420,61655.17,Net Banking
10045,03-11-2023,Eva Babu,East,Guwahati,Books,Textbook,Textbook Consequuntur,2,68202,136404,0,0,136404,33860.63,Debit Card
10046,20-11-2023,Prerak Saha,West,Pune,Books,Biography,Biography Magni,1,36207,36207,15,5431.05,30775.95,5230.85,COD
10047,01-10-2025,Advik Sule,North,Delhi,Beauty,Perfume,Perfume Quisquam,3,55843,167529,10,16752.9,150776.1,23835.95,Credit Card
10048,03-09-2025,Divij Chawla,West,Surat,Sports,Tennis Racket,Tennis Racket Sapiente,5,60512,302560,5,15128,287432,41217.09,Credit Card
10049,22-01-2025,Nirvaan Ben,North,Delhi,Toys,Puzzle,Puzzle Dolorem,1,70834,70834,10,7083.4,63750.6,4232.48,UPI
10050,28-04-2024,Shlok Dayal,West,Ahmedabad,Clothing,Shoes,Shoes Deleniti,1,33485,33485,0,0,33485,6131.25,COD
10051,04-05-2024,Vritika Cherian,East,Patna,Beauty,Perfume,Perfume Rerum,5,8568,42840,5,2142,40698,3935.7,UPI
10052,06-05-2025,Eshani Arya,East,Ranchi,Furniture,Sofa,Sofa Omnis,4,64645,258580,5,12929,245651,51927.61,UPI
10053,02-09-2025,Elakshi Bajwa,West,Goa,Books,Biography,Biography Illum,5,12976,64880,0,0,64880,11967.13,COD
10054,15-04-2024,Jayant Kala,West,Pune,Clothing,Women's Wear,Women's Wear Odio,3,27698,83094,20,16618.8,66475.2,8946.95,UPI
10055,09-12-2023,Biju Mannan,East,Bhubaneswar,Sports,Tennis Racket,Tennis Racket Ea,2,28261,56522,15,8478.3,48043.7,10879.68,Debit Card
10056,19-05-2024,Alisha Sampath,North,Jaipur,Furniture,Bed,Bed Molestias,5,42462,212310,0,0,212310,11609.02,Net Banking
10057,05-12-2023,Rhea Krishnamurthy,East,Patna,Home Decor,Wall Art,Wall Art Excepturi,4,62926,251704,0,0,251704,40267.43,Credit Card
10058,16-10-2024,Samarth Chatterjee,East,Patna,Toys,Puzzle,Puzzle Ut,4,73473,293892,15,44083.8,249808.2,56964.33,Net Banking
10059,09-10-2024,Ojas Konda,West,Pune,Furniture,Cabinet,Cabinet Odit,3,29226,87678,15,13151.7,74526.3,17899.47,Net Banking
10060,16-05-2025,Heer Saran,West,Mumbai,Home Decor,Vase,Vase Necessitatibus,2,9860,19720,10,1972,17748,4403.6,Credit Card
10061,30-04-2025,Manikya Dar,West,Ahmedabad,Sports,Football,Football Eveniet,5,17665,88325,0,0,88325,17529.47,UPI
10062,09-04-2024,Azad Kunda,South,Chennai,Kitchen,Cookware Set,Cookware Set Nisi,2,13751,27502,15,4125.3,23376.7,5552.74,Debit Card
10063,26-01-2025,Drishya Apte,West,Pune,Kitchen,Juicer,Juicer Totam,5,11226,56130,10,5613,50517,2567.28,Debit Card
10064,27-12-2023,Shray Arya,West,Pune,Toys,Action Figure,Action Figure Cum,4,70618,282472,5,14123.6,268348.4,50743.1,COD
10065,23-06-2024,Ritvik Madan,South,Bangalore,Books,Biography,Biography Nobis,3,37492,112476,15,16871.4,95604.6,19263.79,UPI
10066,22-06-2024,Purab Batta,North,Chandigarh,Kitchen,Juicer,Juicer Vero,2,34997,69994,0,0,69994,11129.92,COD
10067,28-05-2025,Purab Krishna,West,Surat,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,2,71572,143144,10,14314.4,128829.6,14012.66,Credit Card
10068,23-02-2024,Manikya Srinivasan,West,Goa,Books,Biography,Biography Ad,5,38936,194680,5,9734,184946,30144.65,COD
10069,24-11-2023,Raghav Gara,East,Bhubaneswar,Home Decor,Vase,Vase Molestiae,1,19506,19506,0,0,19506,2911.1,Net Banking
10070,02-01-2025,Raghav Sabharwal,East,Ranchi,Sports,Tennis Racket,Tennis Racket At,5,48227,241135,10,24113.5,217021.5,52730.72,UPI
10071,31-08-2024,Tanya Vora,South,Bangalore,Sports,Tennis Racket,Tennis Racket Ipsa,3,2697,8091,5,404.55,7686.45,387.48,Net Banking
10072,18-06-2025,Mannat Dhaliwal,East,Ranchi,Toys,RC Car,RC Car Eius,4,47678,190712,20,38142.4,152569.6,13719.94,Debit Card
10073,01-04-2025,Drishya Korpal,North,Chandigarh,Home Decor,Cushion,Cushion Quis,1,39545,39545,15,5931.75,33613.25,4294.42,COD
10074,14-03-2024,Vritika Gade,West,Pune,Toys,Puzzle,Puzzle Nesciunt,5,60787,303935,15,45590.25,258344.75,33333.56,Credit Card
10075,09-12-2024,Neysa Ganguly,North,Amritsar,Toys,Action Figure,Action Figure Placeat,1,26035,26035,20,5207,20828,2957.26,Net Banking
10076,17-01-2025,Adah Kaul,West,Ahmedabad,Clothing,Kids Wear,Kids Wear Aut,5,41865,209325,10,20932.5,188392.5,36655.65,COD
10077,04-03-2025,Shalv Subramaniam,North,Lucknow,Kitchen,Cookware Set,Cookware Set Libero,4,76576,306304,10,30630.4,275673.6,39540.52,Net Banking
10078,10-04-2024,Chirag Hans,South,Bangalore,Electronics,Camera,Camera Nostrum,2,33749,67498,20,13499.6,53998.4,6954.99,COD
10079,05-07-2024,Saanvi Deshmukh,West,Pune,Kitchen,Refrigerator,Refrigerator Sequi,4,46014,184056,15,27608.4,156447.6,8166.96,UPI
10080,17-02-2025,Yakshit Bajwa,West,Surat,Beauty,Lipstick,Lipstick At,5,55423,277115,10,27711.5,249403.5,15673.19,Debit Card
10081,05-12-2023,Jayan Lall,South,Coimbatore,Furniture,Cabinet,Cabinet Nobis,5,5463,27315,5,1365.75,25949.25,1306.37,Debit Card
10082,13-12-2024,Kashvi Bakshi,South,Hyderabad,Sports,Yoga Mat,Yoga Mat Deserunt,1,4714,4714,0,0,4714,547.63,COD
10083,20-06-2025,Myra Goda,East,Ranchi,Sports,Tennis Racket,Tennis Racket Cupiditate,4,31170,124680,10,12468,112212,22964.29,Debit Card
10084,20-07-2024,Jayesh Ramachandran,West,Goa,Home Decor,Vase,Vase Similique,1,8927,8927,20,1785.4,7141.6,1373.47,COD
10085,01-11-2024,Hazel Reddy,East,Bhubaneswar,Furniture,Cabinet,Cabinet Natus,1,16256,16256,5,812.8,15443.2,1764.79,Credit Card
10086,02-06-2025,Shamik Keer,East,Guwahati,Toys,Board Game,Board Game Sequi,2,22240,44480,0,0,44480,8602.03,UPI
10087,29-03-2024,Saira Trivedi,West,Goa,Groceries,Oil,Oil Modi,3,62172,186516,0,0,186516,23035.44,Debit Card
10088,15-11-2023,Baiju Dube,North,Lucknow,Sports,Tennis Racket,Tennis Racket Aperiam,5,39458,197290,5,9864.5,187425.5,44132.79,COD
10089,25-12-2024,Ehsaan Butala,South,Thiruvananthapuram,Books,Comics,Comics Voluptatibus,4,34376,137504,5,6875.2,130628.8,15353.38,Net Banking
10090,26-02-2025,Bhavin Toor,West,Mumbai,Clothing,Kids Wear,Kids Wear Ipsa,4,53084,212336,15,31850.4,180485.6,19220.42,Credit Card
10091,08-06-2025,Romil Sawhney,East,Guwahati,Beauty,Lipstick,Lipstick Nostrum,3,60656,181968,0,0,181968,26322.7,Debit Card
10092,29-01-2025,Mamooty Mannan,North,Chandigarh,Electronics,Camera,Camera Ipsa,1,73564,73564,15,11034.6,62529.4,13309.3,Credit Card
10093,11-01-2025,Reyansh Saraf,East,Patna,Furniture,Sofa,Sofa Quaerat,5,26060,130300,5,6515,123785,24340.25,UPI
10094,08-01-2025,Jayesh Madan,South,Hyderabad,Beauty,Perfume,Perfume Qui,4,72702,290808,5,14540.4,276267.6,35015.76,Debit Card
10095,12-01-2024,Kiaan Ranganathan,East,Patna,Electronics,Camera,Camera Temporibus,2,40818,81636,20,16327.2,65308.8,5824.16,UPI
10096,31-05-2024,Riya Varughese,West,Pune,Groceries,Spices,Spices Reiciendis,3,24183,72549,0,0,72549,17203.3,Credit Card
10097,17-10-2024,Yasmin Warrior,East,Patna,Groceries,Oil,Oil Non,4,19526,78104,15,11715.6,66388.4,12866.73,Credit Card
10098,26-11-2023,Vihaan Bhalla,West,Mumbai,Books,Fiction,Fiction Nemo,5,54037,270185,0,0,270185,58810.96,Net Banking
